date,utility_rate,wholesale_rate
2023-01-01,28.04,16.02
2023-02-01,19.97,12.20
2023-03-01,15.12,12.37
2023-04-01,15.61,10.18
2023-05-01,13.68,8.30
2023-06-01,13.19,10.07
2023-07-01,12.50,10.97
2023-08-01,13.41,11.29
2023-09-01,14.02,11.30
2023-10-01,13.45,11.16
2023-11-01,11.90,12.14
2023-12-01,12.09,10.96
2024-01-01,8.98,16.69
2024-02-01,10.95,8.80
2024-03-01,9.02,8.01
2024-04-01,9.17,7.53
2024-05-01,9.32,8.30
2024-06-01,9.93,9.29
2024-07-01,10.65,8.10
2024-08-01,9.47,8.12
2024-09-01,9.44,9.40
2024-10-01,9.74,9.66
2024-11-01,9.89,9.88
2024-12-01,9.81,14.93
